EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,EXT1_E,EXT2_E,EXT3_E,EXT4_E,EXT5_E,EXT6_E,EXT7_E,EXT8_E,EXT9_E,EXT10_E,EST1_E,EST2_E,EST3_E,EST4_E,EST5_E,EST6_E,EST7_E,EST8_E,EST9_E,EST10_E,AGR1_E,AGR2_E,AGR3_E,AGR4_E,AGR5_E,AGR6_E,AGR7_E,AGR8_E,AGR9_E,AGR10_E,CSN1_E,CSN2_E,CSN3_E,CSN4_E,CSN5_E,CSN6_E,CSN7_E,CSN8_E,CSN9_E,CSN10_E,OPN1_E,OPN2_E,OPN3_E,OPN4_E,OPN5_E,OPN6_E,OPN7_E,OPN8_E,OPN9_E,OPN10_E,dateload,screenw,screenh,introelapse,testelapse,endelapse,IPC,country,lat_appx_lots_of_err,long_appx_lots_of_err
3,4,0,3,3,3,1,3,3,3,5,1,5,1,5,4,5,0,5,5,1,3,4,5,1,5,3,5,5,5,3,1,4,5,3,5,5,4,4,3,3,2,5,1,4,1,5,3,5,5,5912,1943,0,3652,3891,6396,1297,13265,3803,3523,8587,15915,2677,4716,4230,5268,3437,0,2663,2485,11110,4743,4936,3767,12243,3768,5424,2881,2518,5174,3580,4960,3601,3136,959,5347,3859,4239,3443,4748,8267,1928,3053,6022,3603,8165,2440,4280,3487,3809,2018-03-22T11:59:00Z,360,740,14,235,13,20,US,37.4115,-120.5039
1,3,3,5,2,2,2,5,2,3,4,3,2,1,5,2,5,4,4,4,4,4,3,4,1,1,1,3,3,4,3,4,5,2,2,5,4,2,2,5,5,2,2,1,4,4,5,5,5,4,1939,928,9939,999,2766,5929,4873,2899,1079,3872,2138,3627,4776,9482,8162,3688,3429,2301,1960,7303,31597,6049,6025,2729,10578,1043,3143,7280,7520,5812,4030,6656,2792,4979,4483,12620,8468,8028,6194,9331,2161,1045,3505,4868,13791,4975,2381,2135,4444,748,2018-08-23T14:29:08Z,360,640,3,273,14,1,GB,51.5,-0.13
2,3,1,2,2,3,4,5,2,5,5,2,5,1,5,5,5,5,4,5,2,3,3,4,1,5,3,4,4,3,3,2,5,3,4,3,4,3,2,5,4,2,5,1,4,1,4,3,5,5,11655,3866,2234,5668,9349,2133,5479,2570,5191,765,3752,4900,2859,2717,2767,816,659,3040,5017,2152,9371,2734,8250,7651,2385,5600,2373,4147,6503,4700,3048,4404,6421,4333,11618,3351,8966,35703,681,2717,3951,5050,5704,2684,4084,6267,5526,756,2805,2632,2016-04-27T10:11:43Z,320,568,3,254,6,1,US,40.749,-73.9865
3,1,5,2,4,2,5,2,4,3,3,3,3,3,3,3,3,3,3,3,1,5,2,5,1,0,2,5,5,4,4,3,4,2,3,1,4,3,2,3,4,3,4,3,4,2,4,4,4,4,3542,2776,2470,4543,1864,2495,4479,3352,2792,3040,2384,2152,4440,3624,7128,2296,6247,3432,2008,2296,5345,2135,3089,2008,3984,0,3432,4688,3327,2143,3000,3640,2399,3472,2455,3400,4152,6056,3048,13223,2792,3480,5344,11294,2360,2920,3599,1903,33837,3784,2016-05-25T12:49:25Z,1024,819,14,215,13,1,US,37.0383,-88.7157
4,2,4,3,4,2,5,3,5,2,1,5,2,5,4,1,1,1,1,1,2,5,1,5,1,4,1,4,4,5,3,3,5,2,3,1,5,1,4,4,5,1,5,1,4,1,4,4,5,4,35269,5893,8037,12968,3650,4651,11510,6086,6917,6052,6877,4018,4657,7867,9499,3367,10518,3860,1452,2636,28906,4672,10747,4399,12319,4600,5370,6449,5583,5932,1959,13195,11451,8568,5699,5817,2566,70841,5183,6782,3991,5116,2844,5834,1618,3988,6015,3469,3082,3432,2016-10-03T13:43:31Z,375,667,24,418,28,1,NO,59.95,10.75
1,4,2,5,3,1,1,3,3,5,3,1,5,1,5,5,5,5,5,5,1,5,2,5,2,3,1,4,4,5,2,0,4,5,1,5,1,5,1,3,3,2,5,1,3,1,3,3,5,5,4129,1403,6721,2244,2704,1732,2150,3900,1602,5772,4529,8004,1796,1766,3830,1283,1269,1270,1683,1183,2251,2870,2372,1799,2395,3515,2737,10358,1517,2687,2457,0,2168,1334,1535,1864,1750,2287,1481,2473,2051,3547,3349,1867,1452,1735,2431,1646,2627,1385,2016-07-19T09:42:03Z,768,1024,16,133,7,1,CA,45.4333,-73.75
4,2,1,4,4,2,5,4,3,3,4,4,5,3,3,2,2,1,4,3,1,4,4,5,2,4,1,4,4,4,4,1,5,1,5,1,5,1,4,5,4,1,5,2,4,1,5,4,4,4,13265,4746,4027,5014,2840,2023,4713,6856,6352,9288,2452,3863,1988,5118,2522,7555,5647,3622,3445,3613,4463,4480,4295,2277,4728,2258,4015,3527,3350,1284,3180,4997,2308,5377,5603,4061,2588,6629,2406,3226,3832,4780,2855,3176,1903,3676,7037,2751,1922,1369,2018-08-15T13:52:23Z,1280,800,40,210,25,2,GB,53.5304,-2.0774
2,3,2,3,0,4,2,4,1,5,4,5,4,5,3,4,2,1,3,1,2,4,1,3,2,0,1,3,3,3,3,2,4,1,3,3,3,2,1,3,0,3,5,2,3,1,4,2,4,3,7146,5483,4349,5483,0,4385,11599,3586,2934,8649,5569,5287,4847,5064,4552,4679,4193,3154,3813,3473,3981,4850,12348,2915,5051,0,851,4512,4283,1586,4717,6412,2271,4053,5578,7102,6504,4167,5650,5481,0,6367,5935,4184,1066,3519,4469,4183,2101,3080,2016-10-10T02:08:31Z,320,568,3,229,7,1,IE,53.3478,-6.2597
2,1,4,1,5,2,3,3,2,3,4,3,3,1,2,4,4,3,4,3,1,4,3,5,2,4,1,5,4,3,5,1,5,1,2,1,4,3,4,4,4,1,4,1,3,2,4,4,5,4,4098,3225,4210,2747,2774,1928,7411,7251,4599,6360,7028,3352,4809,15457,7546,9920,5280,3588,3181,3354,5329,2978,5303,2931,10308,2209,3997,4768,2750,6936,3595,3778,7195,2066,5232,4504,3308,11099,3917,3498,4037,8499,2762,5064,9728,3444,4674,5626,3237,4682,2018-03-05T06:13:08Z,1366,768,34,268,16,23,US,39.9044,-85.9929
2,3,4,3,4,2,3,3,3,4,2,5,1,3,2,1,2,1,3,2,2,4,4,5,1,3,2,4,4,4,3,3,2,2,2,4,4,2,2,2,4,3,4,2,4,2,4,3,5,4,3633,3067,1619,2239,2508,5354,2753,15310,2516,3848,15473,2210,5061,3197,4491,3857,1095,2576,3592,1894,3650,18912,2841,2803,3922,2960,2299,7189,1471,19771,4213,10205,4194,4223,6928,7124,3010,2328,2111,18612,1854,3927,4490,4181,2387,3848,12097,2251,7473,3365,2018-03-13T17:47:13Z,1536,864,6,262,15,1,NONE,NONE,NONE
2,4,3,4,2,1,2,4,1,4,1,5,2,4,1,1,2,2,1,2,1,5,2,5,2,4,1,4,4,4,4,4,4,4,3,2,4,2,2,4,5,1,5,1,4,1,4,4,5,5,4165,2174,3080,2104,2952,2190,4435,3985,2287,2056,2693,1856,1975,2401,3535,3409,5689,1927,2787,2847,2890,2040,4907,1789,5640,1772,4411,1391,2184,1884,2383,2360,2532,1864,5981,4789,2750,3965,2589,4222,2032,4568,1911,3842,1464,5033,1790,1981,7538,3604,2017-07-29T14:02:22Z,1366,768,4,156,8,1,GB,54.5833,-5.9333
5,5,5,1,3,1,5,1,5,2,4,4,5,4,3,2,4,2,4,1,1,4,5,4,4,4,1,5,4,5,3,4,4,2,3,4,5,2,2,5,5,1,5,1,5,1,5,5,4,5,4526,3217,2018,2834,2269,6248,2753,433,785,3683,5250,2250,2449,3519,2098,10717,1933,6279,1435,1299,2917,1267,4133,2067,8601,2420,1414,2334,6734,2469,2800,1867,1552,3734,7684,1147,1569,3668,799,1766,1851,2898,1083,2031,7821,2301,7199,487,2550,666,2018-02-16T16:13:43Z,375,667,3,157,39,1,US,33.7529,-116.0556
3,2,4,4,3,4,3,4,3,4,4,5,5,3,3,3,4,4,3,3,4,5,4,4,2,4,3,4,2,5,4,5,5,4,2,5,3,3,3,3,4,2,5,2,5,2,3,3,4,5,7175,6061,3195,4330,1542,3139,3564,3789,5077,3013,1731,3306,1915,18832,2513,2671,2776,1999,1980,2192,1932,2778,3557,1823,2461,2614,4298,4662,1538,4005,1941,2802,3195,2010,4728,3950,4382,8994,3255,9244,1774,2406,11884,3687,2845,2889,5265,2191,2991,4319,2016-05-04T11:20:17Z,1920,1080,3,196,10,1,NL,52.2183,6.8958
1,5,4,5,2,5,1,4,4,5,4,2,5,2,2,4,4,2,2,3,1,5,2,5,2,5,1,5,4,5,4,3,4,3,2,4,3,3,3,3,3,3,5,3,3,2,4,2,4,3,16051,3488,4606,3007,4785,7957,4171,2589,11652,3593,3512,3912,4111,4680,4175,2180,2516,3665,2903,4792,8339,4534,3071,2488,4143,6954,4326,2589,2478,3749,777,4340,2754,5115,2421,3454,5596,4296,3982,6575,4665,4991,3479,2620,3951,10873,3110,3176,5811,3758,2018-09-17T11:18:25Z,360,740,42,228,17,1,NL,52.3667,4.9
3,3,1,5,1,5,1,5,1,5,5,1,5,2,3,5,4,5,5,4,5,3,2,4,1,5,3,5,4,4,2,4,4,3,2,5,3,3,1,3,4,3,5,2,4,1,3,4,4,5,4079,2712,2545,1770,2780,1937,2104,2079,1592,1557,1616,2090,1663,3054,2426,1248,3660,3580,1569,5634,2502,4353,2898,2995,2068,1664,3089,1865,3209,5454,4785,3465,2769,1651,5181,6465,1795,28855,2294,43379,2934,5816,1224,2341,1995,2150,2222,2342,2757,1343,2016-07-30T22:54:41Z,1366,768,16,210,17,1,US,42.0944,-91.8693
3,1,4,3,5,1,2,3,3,2,2,5,2,3,1,1,2,1,1,1,1,4,1,4,3,1,3,4,4,2,4,1,3,1,4,1,5,1,5,5,5,2,2,4,4,4,5,5,4,3,8678,5216,2818,7104,1834,2066,3599,2600,8150,3629,2232,1617,5015,9732,7983,1218,2849,1452,1800,3084,6196,12202,2431,1382,16033,2200,2301,3285,2005,2767,7336,2118,2335,5966,6768,1016,1717,4033,897,5100,2234,3298,1867,11002,3768,2700,2165,4197,1853,5167,2018-09-02T02:45:11Z,375,667,4,210,7,1,US,38.0,-97.0
4,4,3,1,4,1,4,1,5,4,1,5,2,3,1,1,1,1,1,3,5,4,1,1,2,0,2,3,2,4,5,5,5,4,1,5,3,2,1,4,5,1,4,4,5,0,5,5,4,5,31364,2080,3032,3612,1792,1876,7244,3440,3832,3824,3228,1803,3072,15687,3152,2720,1696,2915,628,1017,5545,1469,3180,1752,3820,0,4093,3364,4488,14560,900,11496,2524,2884,14896,6492,4543,12101,4088,5964,2215,2876,1721,3608,3760,0,3588,1536,2816,1995,2016-12-01T20:28:24Z,1600,900,33,234,54,1,MX,19.4342,-99.1386
3,4,4,3,4,2,5,2,4,3,4,3,4,2,2,2,3,2,3,3,2,5,3,4,2,2,2,4,4,3,4,4,4,4,3,2,3,3,3,4,5,1,4,1,4,2,4,4,4,4,13216,3210,3101,2548,1948,3104,2410,4286,1875,2285,595,2830,1714,2468,2489,4410,1589,3374,1542,5031,4578,2330,3317,2452,3229,4040,3141,1075,1406,2954,5427,6059,2529,2182,3817,3653,2452,2822,2973,3619,5084,4219,2000,3024,2490,2226,2051,1868,2111,990,2016-06-06T14:19:16Z,768,1024,7,155,11,1,US,38.3283,-85.6957
3,3,3,5,2,3,2,4,2,5,2,5,4,3,4,3,2,1,4,3,5,5,3,5,1,5,1,4,4,3,0,3,5,4,3,4,3,4,3,2,0,2,5,3,5,1,0,4,4,5,8755,5318,6858,2138,2792,3108,9142,4128,1081,3970,2918,2922,4596,16541,3008,3371,7081,5285,4519,2343,3305,2392,2380,2327,4371,6402,5037,3483,7561,3465,0,4783,3438,2688,2512,3945,2841,2807,2273,5119,0,8570,3356,2218,5546,4214,0,2132,6622,1457,2017-12-05T09:23:41Z,1280,800,5,208,12,1,NO,60.3882,6.1925
1,3,1,4,4,3,2,3,4,4,4,5,5,1,5,2,3,5,4,5,3,5,1,4,4,5,2,5,4,3,1,5,4,3,1,2,5,5,2,5,2,4,4,1,3,3,3,3,5,1,23313,4804,22448,7918,11757,5531,7606,10894,10735,12995,16090,3365,5950,6889,9401,17290,15254,3879,22672,2355,29747,4338,2512,10729,16400,5222,9789,5548,7078,14743,8212,10394,12457,11027,7178,8549,5773,16300,6176,29549,8787,10060,5094,5004,4610,13673,11160,6805,2399,5489,2018-04-23T23:10:48Z,1366,768,90,518,17,1,US,25.736,-80.3111
4,2,5,2,4,2,4,3,4,1,1,4,2,4,1,1,1,1,1,1,2,4,2,2,4,3,2,4,4,3,4,3,3,2,3,4,3,2,4,3,3,2,3,2,4,3,4,3,4,4,17711,2099,2451,2927,1536,1616,4113,1916,1217,3006,2798,1744,2420,3982,1665,742,3601,2860,1873,1139,2661,6705,2811,2545,2625,1983,2127,3161,1937,3243,2270,2498,2346,5541,1842,2816,1326,2976,4586,543,1722,2021,3940,4095,3071,5348,5114,3008,3878,1099,2016-03-25T08:10:15Z,320,480,10,154,11,1,US,30.0029,-90.1037
2,3,3,4,3,2,1,5,1,5,3,4,4,3,3,3,2,2,3,3,1,4,3,5,2,5,2,5,5,5,4,3,5,2,2,1,5,2,4,5,4,1,4,1,5,2,5,4,4,4,8077,4307,5008,3098,33318,7389,5136,3867,3023,3664,10077,6433,4575,7051,37727,13330,6256,5799,6255,7964,3731,7781,3394,2855,5722,2673,10602,2665,7097,6310,4928,4993,4941,4670,18724,4488,4331,4209,3246,4629,3259,5999,8293,10475,1593,2646,4345,2389,3253,2549,2017-08-20T14:21:23Z,1366,768,6,340,15,1,US,38.0,-97.0
1,4,2,5,2,2,1,5,2,4,3,3,4,2,2,2,2,2,2,4,1,5,2,5,1,4,1,4,4,4,2,4,4,4,2,0,2,4,2,2,5,2,5,1,4,2,4,4,5,4,2724,1332,1868,2050,1436,2046,2227,2332,2401,4426,2328,2587,947,2048,1708,10433,1843,1519,1249,2026,2087,1550,3292,1464,2063,1782,1302,1915,3160,1318,3259,4221,5030,1814,1522,0,1085,1643,1850,2083,2640,2662,2631,2527,3782,1321,1817,1811,2380,1534,2016-12-24T17:44:08Z,1366,768,26,116,22,1,CA,55.1726,-118.7997
3,1,3,2,4,2,5,2,4,3,2,2,2,3,4,3,5,4,4,4,1,5,4,4,2,4,1,3,5,4,3,4,3,2,4,3,4,1,3,4,5,1,4,1,4,1,5,3,5,5,3162,3008,3551,2848,1577,2431,3632,3704,1840,4455,3936,3104,6016,25296,2368,3801,3735,2841,2391,2536,7240,1664,1864,3201,2807,5848,1696,8719,2728,13072,2248,2592,8655,4191,3240,2256,3201,11072,2953,5336,2280,2841,4608,1800,1809,8791,2209,7503,13336,2240,2018-10-20T08:45:43Z,1920,1080,3,230,8,1,DE,51.0,9.0
4,3,5,3,4,3,5,4,5,5,3,5,4,2,1,4,4,4,5,4,3,2,3,4,3,4,2,4,4,4,4,1,5,4,4,1,4,1,4,4,4,1,5,2,4,1,5,4,4,5,9273,11217,2829,5421,11107,3096,4303,3360,4732,3566,5980,3376,3294,6653,9820,3970,3600,3101,3708,2683,6061,888,6254,5019,1193,8209,3888,7992,3223,3932,6336,4105,2757,3980,2884,5791,3116,1025,4294,2982,3145,4375,2577,3978,7912,4396,2584,19613,3616,1788,2018-02-05T11:06:16Z,412,732,10,244,16,1,US,38.0,-97.0
3,5,3,5,3,3,3,5,2,4,1,4,2,4,1,1,2,2,1,2,2,3,1,5,2,2,2,4,5,4,4,2,5,1,3,1,4,3,3,2,3,1,3,2,3,3,4,3,2,3,7500,5970,4750,12064,2581,3871,12463,2545,7919,3077,4695,6567,7442,2623,2882,2183,5610,2251,4694,1618,5867,2457,4177,1669,3206,3128,4458,2537,8045,2831,2295,5128,4174,4268,4369,4676,2126,2987,1922,4907,4922,5713,6696,5597,5814,4472,2942,2849,2412,1806,2018-03-21T10:37:13Z,1280,800,31,225,91,1,US,36.9312,-76.2397
2,4,3,4,5,4,3,5,2,5,5,3,5,2,4,4,4,3,4,4,5,4,3,4,1,4,2,4,4,3,2,3,4,3,2,4,3,3,4,4,5,1,4,3,5,1,4,4,3,5,11232,3966,3267,4366,2986,6399,9715,5979,10050,5249,2700,3199,2078,3017,2500,1001,4901,3748,2662,3179,2333,3351,8699,27051,2914,4501,3617,5504,8983,5001,4347,3784,1436,1100,2866,3250,3583,4518,3151,13487,3533,3684,5285,3217,3467,10333,8083,5034,6139,2449,2016-05-28T08:00:52Z,320,568,5,258,11,1,US,38.0,-97.0
3,3,3,3,4,2,2,2,3,3,4,3,4,2,3,3,4,4,4,2,2,4,3,4,2,4,2,3,3,4,2,3,3,2,3,3,4,3,3,3,3,2,4,3,3,2,4,3,4,4,10833,3394,2402,3240,4119,1919,5803,2819,1806,4676,4440,6266,8871,6799,5788,1754,2286,6883,2320,2475,4598,5431,2978,2114,3535,5004,8765,5831,5167,1480,4776,3503,3403,3310,5420,3710,6052,4941,2679,4052,4386,17208,1115,5117,7497,2938,4779,1835,7994,1116,2018-07-16T05:03:23Z,1440,900,27,231,13,1,NL,52.3667,4.9
4,4,2,4,2,4,2,5,1,5,3,3,4,2,3,4,3,3,3,3,1,3,1,5,3,5,3,3,5,4,4,2,5,2,3,2,4,2,4,4,3,4,2,3,4,4,4,2,5,3,7610,3567,3221,4911,1089,8122,5171,3112,4676,2947,3210,3304,3684,2902,4974,6362,4185,5287,4285,4662,4928,3595,3420,4032,4315,1366,3477,7347,3222,4263,3234,5318,2706,2815,3754,3558,3087,2828,5917,6375,4225,5713,2643,6205,3849,3505,1775,2158,4178,2745,2016-10-27T10:19:58Z,360,640,193,206,12,1,US,45.5234,-122.6762
4,2,4,3,4,2,5,3,4,2,4,4,3,3,2,1,1,1,1,1,1,4,1,3,2,4,2,4,3,5,3,4,5,4,2,4,4,2,4,4,0,2,4,1,3,1,5,3,4,5,14047,3808,21816,4271,1984,4128,2255,9415,1704,3032,3392,3800,3655,3487,3352,1440,3872,1472,1496,2728,1069,2271,2330,8033,2584,1856,3608,2144,2945,4546,2360,3113,5097,1432,2040,3474,2529,10033,1616,3953,0,3928,8121,4929,2728,1888,736,5287,3216,1104,2017-06-21T11:40:32Z,1920,1080,6,195,7,1,US,34.0553,-117.7523
1,5,1,1,1,5,1,5,1,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,1,1,5,5,1,5,5,1,1,5,1,1,5,1,3,5,5,5,1,1,1,1,5,1,4808,3945,2949,5289,8515,2954,4968,3986,3816,4148,8032,2251,1666,5813,4000,2425,2018,2652,2600,1650,3242,2375,4786,2415,3766,2363,6467,8782,2215,5985,5680,3381,3367,5871,4102,3772,3767,3315,1468,4733,6183,3466,3430,5535,3098,2170,2665,2466,2552,2368,2017-09-01T03:21:36Z,1600,900,5,196,28,46,ZA,-29.0,24.0
3,3,3,3,3,3,3,5,1,5,4,2,4,4,4,5,4,5,3,3,4,3,2,4,2,4,2,4,4,3,3,2,3,2,3,3,3,2,3,4,3,4,3,3,2,3,3,2,4,3,33635,2200,8172,8316,7270,3475,6738,7671,6909,4238,19445,6119,3208,26247,4962,18662,3960,6137,25713,21673,5147,10672,3416,4805,3370,1302,6819,5515,5835,6744,10394,2401,3649,6407,5322,6552,6432,37769,4625,1756,16348,11321,4015,6026,6135,4649,5042,4209,5528,6146,2016-03-03T08:16:13Z,360,640,89,450,52,1,MY,3.1698,101.7026
3,1,4,2,5,1,4,2,4,1,5,3,5,3,1,2,4,4,2,3,5,4,3,4,2,5,1,4,4,4,2,4,3,4,2,4,3,2,4,4,3,2,5,1,3,1,3,3,5,5,80617,4638,2140,3894,8437,2537,6018,26252,3291,4221,13416,4768,1933,5118,3157,11202,5596,8235,7265,3372,6521,10751,36130,12314,3620,14620,5061,15103,3540,14967,4024,5209,29426,2466,3402,37864,6828,11119,6835,10117,14930,12581,2771,4081,3085,3636,11322,10945,3964,2958,2018-02-20T10:34:36Z,1536,864,4,524,15,1,US,32.3654,-90.1118
5,1,5,1,5,1,5,1,4,1,3,5,5,1,1,3,2,3,3,1,1,5,4,1,3,3,4,4,4,5,0,1,5,1,1,3,4,4,1,3,3,1,4,1,5,1,3,2,3,3,41670,1535,2880,3697,3300,1951,3709,121746,3711,5114,20061,4919,926,2676,4870,6139,5364,3720,2447,3902,8041,3666,5367,2017,4249,11502,3209,4598,1583,2721,0,13778,4459,1531,4119,1374,2806,1940,3408,6785,933,2196,2563,1411,3085,4750,2435,2783,2036,1955,2016-05-09T15:04:40Z,1366,768,5,359,60,276,US,37.5155,-121.8962
4,1,3,2,4,1,5,3,4,3,5,1,5,1,3,4,5,5,5,5,2,5,2,5,1,5,2,5,5,5,4,5,5,3,1,3,5,3,4,5,5,2,5,2,5,1,5,5,2,5,4869,2796,3612,3476,3053,6462,6687,3579,3099,3695,4851,3547,2327,2982,3163,3185,4494,7939,2756,2887,2978,2468,5075,2454,4084,3168,3246,771,4038,3152,6541,7892,3231,4243,3136,4344,2943,5058,3582,3979,875,3707,2526,3613,1144,773,4292,3457,3652,4364,2018-10-26T10:02:55Z,360,640,31,185,14,1,NONE,NONE,NONE
2,4,1,4,2,2,1,4,1,5,5,1,5,1,5,5,5,5,4,5,3,3,3,4,3,4,3,3,3,3,3,4,3,3,1,2,5,3,4,3,4,3,4,3,3,2,3,3,5,3,8362,29139,3009,3299,2845,14158,4300,3421,4161,2836,7679,11559,2905,16301,3301,2987,3502,4542,2788,2671,8147,4232,7850,2975,16067,4937,4136,11349,5227,3697,8183,6628,3446,4046,4841,17652,5484,5467,4683,5948,5952,3785,2930,8294,3003,4762,2644,2990,3236,2783,2016-07-06T12:01:42Z,360,640,16,338,11,1,SE,59.3294,18.0686
5,1,5,1,5,1,5,3,3,1,3,3,4,2,3,2,3,2,3,1,2,4,2,4,1,3,1,5,4,3,4,2,5,2,3,2,5,3,5,4,3,1,4,2,5,2,4,3,5,5,8324,2215,1580,3635,1946,5962,3195,4040,2095,4543,4248,2693,2692,2962,1897,1359,1386,9820,1714,1751,3513,1665,1615,1922,2999,1751,7652,2816,2730,2449,55225,3941,1884,3036,1396,4456,1357,1129,2718,4885,2031,1996,1225,3342,1126,1566,2080,1417,1850,1182,2017-01-17T14:05:52Z,1366,768,15,196,11,1,US,33.941,-83.4341
1,2,3,3,2,3,2,3,5,4,5,3,5,3,2,4,3,2,3,4,3,2,2,3,3,2,3,2,3,3,2,1,5,3,3,3,4,3,3,2,1,1,5,1,3,1,5,1,5,5,90486,4980,3627,18901,3717,5232,5183,6348,14350,56336,65755,981,4783,8470,4045,27941,4617,6123,1250,5217,29538,6001,6322,4725,4353,3851,6867,4482,44441,5868,5472,78885,4317,9516,25807,7333,4483,17392,39599,10336,6431,17651,48159,3510,3932,4226,28920,3768,8661,19040,2016-12-03T19:35:35Z,NULL,NULL,NULL,804,60,1,CL,-33.45,-70.6667
3,3,3,3,4,3,4,3,3,3,5,3,5,4,2,3,3,2,2,3,5,5,2,5,1,5,2,5,5,4,4,2,5,3,4,3,3,1,2,3,3,2,3,1,3,3,3,3,5,3,45013,2990,12423,6401,2959,2474,1605,2948,1615,2362,2445,6553,3120,2766,3896,2878,1474,3251,2069,2877,9026,3333,1788,1222,4876,1756,4684,6400,2059,2868,6172,6433,4735,3341,3493,23502,6410,3422,4340,5400,2342,5897,3544,11378,2645,12164,4573,4714,15869,1676,2016-10-03T10:37:22Z,1366,768,5,284,28,1,US,38.0,-97.0
3,3,3,2,3,4,1,2,4,2,4,3,4,3,4,3,4,3,2,2,3,3,3,2,3,4,2,1,2,2,3,3,4,3,3,4,3,2,4,3,3,3,2,3,4,2,3,4,4,3,13313,853,634,863,2091,383,958,485,1822,2404,872,782,236,394,700,985,537,552,525,1136,1595,170,1133,234,1404,848,1094,567,583,1202,865,929,1649,1284,983,3752,184,867,1002,698,662,968,2889,917,197,867,1628,231,716,487,2018-09-23T10:53:21Z,375,667,22,77,9,1,MY,2.5,112.5
4,2,3,4,3,2,1,1,5,5,5,2,5,3,5,5,5,5,5,3,3,3,5,1,2,5,3,5,2,3,2,5,4,2,1,5,2,3,3,3,3,2,5,2,3,1,4,2,3,3,32183,5819,3995,8568,2622,5706,10520,4454,4227,4482,4283,4502,2960,6702,3345,2837,5084,2969,2748,2452,9921,5216,3276,9672,9116,4936,3269,5370,5278,3901,4622,9222,5686,5301,5131,9254,3302,4518,3039,4786,2855,5885,3113,8054,2681,3731,4251,4951,4902,2119,2017-01-07T08:24:57Z,375,667,8,279,15,1,BR,-23.5477,-46.6358
5,1,5,1,5,2,4,2,5,1,3,3,4,2,4,4,3,3,5,2,4,5,5,4,1,4,2,4,4,4,3,3,5,4,3,3,3,2,4,3,2,5,4,2,4,2,4,3,4,4,7629,6800,3653,4354,3117,1130,5291,34991,6117,2352,3103,10905,7245,2578,2307,25985,2497,1230,2117,4066,5826,1108,2215,3203,2925,2257,2499,21264,2156,5199,4220,3326,3403,3103,3036,2714,4965,4562,1932,3412,3928,4334,4827,10972,6082,9112,3074,4900,3966,1742,2017-04-05T05:37:10Z,375,667,25,275,7,1,US,38.0,-97.0
3,4,2,3,4,1,2,2,4,0,4,2,2,2,4,2,2,2,4,2,2,4,2,4,2,4,2,4,4,3,3,4,4,2,1,3,2,2,2,3,4,3,5,2,4,4,4,4,4,4,4854,3231,3443,2622,1642,2242,8364,3219,2647,0,1741,7320,1884,3196,3834,4483,2597,2212,2652,3633,4421,3582,8048,3096,3616,5236,2981,4226,2813,6507,1718,1299,1887,3934,2126,2146,2291,2238,1870,3694,3427,6279,2686,3878,2872,1719,1908,3321,2122,1452,2016-05-19T13:33:20Z,1366,768,21,166,12,1,GB,53.05,-3.0
2,1,5,2,4,0,1,2,5,2,5,2,5,3,1,5,1,1,5,1,1,5,1,5,1,5,1,3,5,4,4,3,5,4,5,4,4,0,3,4,4,1,5,1,4,1,2,4,4,5,12592,3577,3284,3456,2784,0,3152,4062,9167,3357,4252,6775,3724,3740,3181,2825,4315,2962,3316,2335,3997,3400,3336,2769,2800,2704,2881,5137,3887,3985,4829,5504,4519,4897,2687,4116,2913,0,2704,4680,3848,3689,11087,2353,2991,2941,2519,2675,11924,2128,2018-08-09T11:43:58Z,320,480,16,205,14,1,DE,54.3157,10.1302
2,3,3,4,4,3,2,4,3,3,2,4,2,3,1,1,4,3,3,3,5,5,3,2,5,2,2,2,2,4,2,4,5,2,1,4,3,4,2,4,3,3,5,2,4,2,3,3,5,5,7181,3505,2234,2863,2399,1873,3329,1712,3008,8327,4624,3608,5320,3144,3496,3792,1601,2386,3745,1648,4454,1727,2296,2287,1896,1703,3592,3945,2207,2241,1224,3272,1967,4353,2768,3176,2105,3647,2649,4000,2248,6311,1225,2729,1976,2247,5742,1454,2791,1504,2016-09-17T02:38:07Z,1920,1080,461,154,5,1,US,36.175,-115.1372
3,3,5,1,5,1,3,3,3,2,3,5,3,3,3,3,3,3,3,3,1,5,1,5,3,4,1,3,5,4,4,5,4,3,3,3,4,3,4,3,4,2,5,3,5,1,5,3,4,4,7749,2131,2354,2402,1487,1887,3504,6212,3264,2651,2509,7965,2320,2047,1488,1678,2175,1536,2997,992,3829,864,1616,1616,2928,2337,2754,4062,1455,2079,3469,2407,2257,3464,4341,4785,2402,1488,4122,3642,2610,4301,1567,1872,1456,2048,1842,1311,2572,2304,2016-03-24T17:27:44Z,768,1024,12,140,14,1,AR,-34.6,-58.6333
